epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1534.09,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000199675,0.000199675,0.000199675
63,1558.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019885,0.00019885,0.00019885
64,1583.62,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000198025,0.000198025,0.000198025
65,1608.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001972,0.0001972,0.0001972
66,1633.16,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000196375,0.000196375,0.000196375
67,1657.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019555,0.00019555,0.00019555
68,1682.69,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000194725,0.000194725,0.000194725
69,1707.44,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001939,0.0001939,0.0001939
70,1732.21,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000193075,0.000193075,0.000193075
71,1756.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019225,0.00019225,0.00019225
72,1781.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000191425,0.000191425,0.000191425
73,1806.54,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001906,0.0001906,0.0001906
74,1831.29,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000189775,0.000189775,0.000189775
75,1856.03,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00018895,0.00018895,0.00018895
76,1880.81,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000188125,0.000188125,0.000188125
77,1905.62,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001873,0.0001873,0.0001873
78,1930.38,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000186475,0.000186475,0.000186475
79,1955.13,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00018565,0.00018565,0.00018565
80,1979.92,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000184825,0.000184825,0.000184825
81,2004.68,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000184,0.000184,0.000184
82,2029.43,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000183175,0.000183175,0.000183175
83,2054.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00018235,0.00018235,0.00018235
84,2078.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000181525,0.000181525,0.000181525
85,2103.74,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001807,0.0001807,0.0001807
86,2128.52,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000179875,0.000179875,0.000179875
87,2153.29,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00017905,0.00017905,0.00017905
88,2178.08,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000178225,0.000178225,0.000178225
89,2202.85,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001774,0.0001774,0.0001774
90,2227.65,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000176575,0.000176575,0.000176575
91,2252.41,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00017575,0.00017575,0.00017575
92,2277.19,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000174925,0.000174925,0.000174925
93,2301.95,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001741,0.0001741,0.0001741
94,2326.68,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000173275,0.000173275,0.000173275
95,2351.32,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00017245,0.00017245,0.00017245
96,2375.97,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000171625,0.000171625,0.000171625
97,2400.61,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001708,0.0001708,0.0001708
98,2425.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000169975,0.000169975,0.000169975
99,2449.88,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00016915,0.00016915,0.00016915
100,2474.52,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000168325,0.000168325,0.000168325
101,2499.15,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001675,0.0001675,0.0001675
102,2523.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000166675,0.000166675,0.000166675
103,2548.43,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00016585,0.00016585,0.00016585
104,2573.17,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165025,0.000165025,0.000165025
105,2597.82,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001642,0.0001642,0.0001642
106,2622.43,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000163375,0.000163375,0.000163375
107,2646.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00016255,0.00016255,0.00016255
108,2671.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000161725,0.000161725,0.000161725
109,2696.12,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001609,0.0001609,0.0001609
110,2720.67,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000160075,0.000160075,0.000160075
111,2745.22,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00015925,0.00015925,0.00015925
112,2769.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000158425,0.000158425,0.000158425
113,2794.31,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001576,0.0001576,0.0001576
114,2818.84,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000156775,0.000156775,0.000156775
115,2843.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00015595,0.00015595,0.00015595
116,2868.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000155125,0.000155125,0.000155125
117,2892.69,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001543,0.0001543,0.0001543
118,2917.26,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000153475,0.000153475,0.000153475
119,2941.67,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00015265,0.00015265,0.00015265
120,2966.08,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000151825,0.000151825,0.000151825
121,2990.48,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000151,0.000151,0.000151
122,3014.89,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000150175,0.000150175,0.000150175
123,3039.28,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00014935,0.00014935,0.00014935
124,3063.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000148525,0.000148525,0.000148525
